6.1101	2.471861647	17.592
5.5277	2.351106123	9.1302
8.5186	2.918664078	13.662
7.0032	2.646355985	11.854
5.8598	2.420702377	6.8233
8.3829	2.895323816	11.886
7.4764	2.734300642	4.3483
8.5781	2.928839361	12
6.4862	2.546801916	6.5987
5.0546	2.248243759	3.8166
5.7107	2.389707095	3.2522
14.164	3.763509001	15.505
5.734	2.394577207	3.1551
8.4084	2.899724125	7.2258
5.6407	2.375015789	0.71618
5.3794	2.319353358	3.5129
6.3654	2.522974435	5.3048
5.1301	2.264972406	0.56077
6.4296	2.535665593	3.6518
7.0708	2.659097591	5.3893
6.1891	2.487790184	3.1386
20.27	4.502221674	21.767
5.4901	2.343096242	4.263
6.3261	2.51517395	5.1875
5.5649	2.359004027	3.0825
18.945	4.352585439	22.638
12.828	3.581619745	13.501
10.957	3.310135949	7.0467
13.176	3.629876031	14.692
22.203	4.712005942	24.147
5.2524	2.291811511	-1.22
6.5894	2.566982665	5.9966
9.2482	3.041085333	12.134
5.8918	2.42730303	1.8495
8.2111	2.865501701	6.5426
7.9334	2.816629191	4.5623
8.0959	2.845329506	4.1164
5.6063	2.367762657	3.3928
12.836	3.582736384	10.117
6.3534	2.520595168	5.4974
5.4069	2.325274177	0.55657
6.8825	2.623451924	3.9115
11.708	3.421695486	5.3854
5.7737	2.402852472	2.4406
7.8247	2.797266523	6.7318
7.0931	2.663287442	1.0463
5.0702	2.251710461	5.1337
5.8014	2.408609557	1.844
11.7	3.420526275	8.0043
5.5416	2.354060322	1.0179
7.5402	2.745942461	6.7504
5.3077	2.303844613	1.8396
7.4239	2.724683468	4.2885
7.6031	2.757371937	4.9981
6.3328	2.516505514	1.4233
6.3589	2.521685944	-1.4211
6.2742	2.504835324	2.4756
5.6397	2.374805255	4.6042
9.3102	3.051262034	3.9624
9.4536	3.074670714	5.4141
8.8254	2.970757479	5.1694
5.1793	2.275807549	-0.74279
21.279	4.612916648	17.929
14.908	3.86108793	12.054
18.959	4.354193381	17.054
7.2182	2.686670802	4.8852
8.2951	2.880121525	5.7442
10.236	3.199374939	7.7754
5.4994	2.345079956	1.0173
20.341	4.510099777	20.992
10.136	3.183708529	6.6799
7.3345	2.708228203	4.0259
6.0062	2.450754986	1.2784
7.2259	2.688103421	3.3411
5.0269	2.242074932	-2.6807
6.5479	2.558886477	0.29678
7.5386	2.745651107	3.8845
5.0365	2.244214785	5.7014
10.274	3.205308098	6.7526
5.1077	2.260022124	2.0576
5.7292	2.393574732	0.47953
5.1884	2.277805962	0.20421
6.3557	2.521051368	0.67861
9.7687	3.125491961	7.5435
6.5159	2.552626099	5.3436
8.5172	2.918424232	4.2415
9.1802	3.029884486	6.7981
6.002	2.449897957	0.92695
5.5204	2.349553149	0.152
5.0594	2.249311006	2.8214
5.7077	2.389079321	1.8451
7.6366	2.763439885	4.2959
5.8707	2.422952744	7.2029
5.3054	2.303345393	1.9869
8.2934	2.879826384	0.14454
13.394	3.659781414	9.0551
5.4369	2.331716106	0.61705
